txnHash,method,block,age,from,to,value,txnFee
0x72c577569c2be4b47708d7b3beaa010c0e4a7480a7a2dca40ab238ce80436fa9,Execute,21124918,24 secs ago,0xc5a0b5a6cac7f859099589c2a1f6d4f3a315f85e,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,0 ETH,0.00187758
0x9ce59b6bbb9361482c0ddec732736625771558ebc7cf4f9a11f5e2213c5ce6e2,Execute,21124918,24 secs ago,0xb9a3aede0d7b121b37caade6a6a1402e82679f09,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,0.008 ETH,0.00172641
0x3d81cf9c7c59b461f55358e925bf3113e461537a1982e746dd396afdce3e1ecd,Approve,21124918,24 secs ago,0x7389243aa10470e5c0d866078b2772db7595099e,0xE0f63A424a4439cBE457D80E4f4b51aD25b2c56C,0 ETH,0.00028781
0xbb5fdcb837ed31a1f64058379d6300acff128854fa2d6171cf88d2bf5fd8ef7a,Transfer,21124918,24 secs ago,0x6ae20840bfe54098a2c7b8c1ae674293ea981f42,0x919b7be8882fBCbAc05DA59aE3ee3d844e70e041,0.04954 ETH,0.000147
0x0d9380367ad43896f75a2709917d830fe1eb04865ae414ef920409b79ecbe25e,0x415565b0,21124918,24 secs ago,0x7a5b4537f184370cff3784660387b0ebae30c188,0xDef1C0ded9bec7F1a1670819833240f027b25EfF,0.01717755 ETH,0.00173395
0x70024075c3eb678fbb668bc8ccf46e15a925e5c244297106052472c4811d4b6a,Transfer,21124918,24 secs ago,0xd5fbda4c79f38920159fe5f22df9655fde292d47,0xdAC17F958D2ee523a2206206994597C13D831ec7,0 ETH,0.00038019
0x8d08e397651a438a772d3832356a9b4c9b4a357688b3e10b23f187523568f6e4,Transfer,21124918,24 secs ago,0x46c98858626f0f0627739319f0ee16fba219bed0,0xdA86006036540822e0cd2861dBd2fD7FF9CAA0e8,0 ETH,0.00020957
0xfb4fc120de4822d9e6aff3bfbcf97bd9cfbbf79048e2d7d16da9c6f9bc59178a,Deposit ETH,21124918,24 secs ago,0xb082cebb2588c4eae87ed1034f411d3abd24a977,0xAEB0c00D0125A8a788956ade4f4F12Ead9f65DDf,0.502 ETH,0.00025708
0xffaabf92066b918b80aedea9764a110c6f01660c2a44cdbd8d28a829d154b26e,0x415565b0,21124918,24 secs ago,0x246346e13d155cbaa8f79a29a50230c38c8a4939,0xDef1C0ded9bec7F1a1670819833240f027b25EfF,0 ETH,0.00231371
0xa700cb47018fec83425202230b9e6d812014a857095f653d8c688f244bf74eed,Add Sequencer L2...,21124918,24 secs ago,0x0c5911d57b24fcf1dc8b2608efbae57c7098e32d,0x211E1c4c7f1bF5351Ac850Ed10FD68CFfCF6c21b,0 ETH,0.00087322
0x9a5819fa642bfbfc1ecabf622ff69df4cb3250abbf9200866ce9d4f05eab3589,0x415565b0,21124918,24 secs ago,0x6684c432bc1dcf37e8fd2b2bdb3e1263ec497fce,0xDef1C0ded9bec7F1a1670819833240f027b25EfF,0.0276 ETH,0.00152045
0xb8715b1812931a30cf38c1a9f98be186970c612b737ff780b61570545c3ca64e,Transfer,21124918,24 secs ago,0xa7fdd34c992b724bee8ee19d5abb8a4e35c93918,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0 ETH,0.00037499
0xc8afdf9d08e4da4073d860e4be7332c181832a8f29a9fb399f46cd9242bea3de,Transfer,21124918,24 secs ago,0x3701e51b6ce020c4fd279147e14691dad8765dfd,0x2f13d388b85e0eCd32e7C3D7F36D1053354EF104,0.001876 ETH,0.00012631
0x1493b9eb5a0feaf3c77d1de928cc373de4700a736a44706a4b6921dbc006ba57,Transfer,21124918,24 secs ago,0xcbd6832ebc203e49e2b771897067fce3c58575ac,0x47f558656f282e71D911FC22Cf544492B4001431,0.0413809 ETH,0.00025847
0x76a17899d5e07a6e3080256142f282662111decd9df76fae443d7d6f9828bd0a,Swap,21124918,33 secs ago,0xf851753046acc12326484002607ffbe1ef78d9c6,0x1111111254EEB25477B68fb85Ed929f73A960582,0.007422741 ETH,0.00092742
0x710a592ae6b9e10a6fd264702db0e7497ec61b1196a8f4eaee9cac7e1fa7aadd,0x9871efa4,21124918,33 secs ago,0x655152703b2362f6d395dd539787c4823780730f,0x7D0CcAa3Fac1e5A943c5168b6CEd828691b46B36,0.076 ETH,0.00065287
0x6d2a647db3ea7cfd3ecea50a2f79e0a443de233d85527454662f7d5312f45c72,Transfer,21124918,33 secs ago,javascript:;,0x4B4bB00ea24AcF7680f4AFFB77C73a72F329a51f,0.01817691 ETH,0.00014726
0x6847a5f8618c5fa08b4bd76eec76b8da6318d2ed555e307bc1ede0f40494f51c,Transfer,21124918,33 secs ago,0xdfaa75323fb721e5f29d43859390f62cc4b600b8,0xdAC17F958D2ee523a2206206994597C13D831ec7,0 ETH,0.00038784
0xf5edb59dd694d5fd8cbb84b559a33becb28c9244fd6005b402208602be62a040,0x00000000,21124918,33 secs ago,0xb686577af6d6d141ce97c852439251d8a51acf3f,0x0000000000000068F116a894984e2DB1123eB395,0.065 ETH,0.00090556
0xb0024a1ba97cb63a623b91b32898db925e59021253fbd98829cf4abdee650051,Transfer,21124918,33 secs ago,javascript:;,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0 ETH,0.00026683
0x312af58941df07ffd08a28a9d8686549717e074c0ad0abd71245c6606bf5f560,Execute,21124918,33 secs ago,0x7205c725f68025cd90bbf631c4283ace0948ed0c,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,0 ETH,0.00127202
0x6da28281d65c764b7aab135a8d81c8bafb80e012a042651ec4bd0f292627a7e3,Owner Mint,21124918,33 secs ago,0x05079d1bcb45c3865877dc0592cf2aec9f7c462e,0xC7AC64b37f93B90aa3A7809d35D8771de18Ab71e,0 ETH,0.00024711
0x93f474a5b4cc48f9a489c342df6d610f9143358eb0c97929072e018c5a528a9a,Multicall,21124918,33 secs ago,0x393950505b160607f40d11ab956c9406dbe6e4ce,0x004395edb43EFca9885CEdad51EC9fAf93Bd34ac,0 ETH,0.00650523
0x13ac59b57ee07e0f9aceeedcf53323c7351cc0a002551941d7c99e284695e84f,Transfer,21124918,33 secs ago,javascript:;,0xdAC17F958D2ee523a2206206994597C13D831ec7,0 ETH,0.00027311
0x9cf4ea4f0bef70f0617379e438ddc1578bbd6bc7d2dad3f3e4fcd68fce7924d0,Transfer,21124918,33 secs ago,0xc05a0c3417c636623922380b8cc66df77c0a4db6,0x96256FAAC9afE2f7809eC9f926eBBae72950A930,0.063889053 ETH,0.00012836
0x379acb274c7b8c3dc2b58b15ac4ba4d84127428b73b86a553dd2c534b057bad2,Swap,21124918,33 secs ago,0x76ff2d49d043a19a40cd04e4ee148e2555563024,0x1111111254EEB25477B68fb85Ed929f73A960582,0.018821755 ETH,0.00097721
0xf88978aec46ece2138c31d3551b6fe6d9e04d2576ce578ccacff60de3f385ec1,Swap Exact ETH F...,21124918,33 secs ago,0x34e39f1da6e54104259e3dfea7c2df533d114313,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0.2 ETH,0.00095935
0x72b97368ccdf63abceae70a934aa8f861f30fd9029e67aee4d58f92bbe88a0ec,Transfer,21124918,33 secs ago,0x4cb8f2fa35805d997a94286a2b2fea9c069656ee,0x5d30FB792Aa71804fC95Ea7D7346c0e5A6861ec0,0.518115938 ETH,0.00012812
0x397317594b96ac2270f4e43ceb0c3400f61e4ee41bbb75cc029372cbf512d448,Transfer,21124918,33 secs ago,0x6798d64c0c05f672077732916dc746ca583f975c,0xc7Bb28cC5FF6cA32099f743EB0BdD754B8d6Ccf2,4.098338385 ETH,0.00014838
0x37190c493002a86dfd1ebccb1ed609fffc7ac473f14deb0b73fe862556d64602,Execute,21124918,33 secs ago,0x8272aaf30b9813dedb2bcb0a077281512a9d2ab3,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,0 ETH,0.00159814
0x0797de7ea89c147db4bf462b874b9e21beaaf2afa421186389ab8fc871bce5fb,Transfer,21124918,33 secs ago,javascript:;,0xdAC17F958D2ee523a2206206994597C13D831ec7,0 ETH,0.00027319
0xaef8b326ee68deaa93cd23a35dc5335894f0683039b81e6e71a5c117c73e78fb,Transfer,21124918,33 secs ago,javascript:;,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0 ETH,0.00026691
0xda8cd4d38d025fb8c8c8cf86021fdcadf6bfc26320b949e9137416cadba71c5e,Transfer,21124918,33 secs ago,0xeec67e4f279c06d55cde3b5eaa631c24fea6d34a,0xC94eBB328aC25b95DB0E0AA968371885Fa516215,0.073209399 ETH,0.00013257
0x01b3a85d2bd0f63062c216d487383781e54ce90d95764cc05164bbfb9e00d037,Transfer,21124918,33 secs ago,0x32e40ae92f7e254e25be84c006821061f14ecd0e,0x7AB6c736baf1DAc266aAb43884d82974a9ADCcCF,0.207511134 ETH,0.00012845
0x92521631b6111ba07bffcacb0e11eaa60079208b903cb0554f675e08667559e9,Transfer,21124918,33 secs ago,javascript:;,0xdAC17F958D2ee523a2206206994597C13D831ec7,0 ETH,0.00027319
0xbaf32aab65f063eeb2a2abd02cf919e6d0785e7d6ed5fb0af5000076c8d889bd,Transfer,21124918,33 secs ago,0xe8b44a0917d8658fbb1743b735aba70cfec8a82c,0xC94eBB328aC25b95DB0E0AA968371885Fa516215,0.020307459 ETH,0.00013257
0xb2b98480042bb8e9573137bc4d35bbd936afddc918f7f022cc13da4d2fc9dbff,Transfer,21124918,33 secs ago,0x46663c00534d0190297c8b2d4162e118cd84a91d,0x10b8054469E894E0275371514BD4a77005067e11,0.00422 ETH,0.00012802
0xa185d79b1245480f03d413cc71c15e6c1923acfc2254f7bb44ecf1641c456a14,Transfer,21124918,33 secs ago,0xd6c541d3b39771373c437fca30c09aee79c28d15,0xdAC17F958D2ee523a2206206994597C13D831ec7,0 ETH,0.00024896
0xd7a3a7329f20136e023f1e47a95daf8601966404b09f7430bd87cd361bd3347a,Transfer,21124918,33 secs ago,0xf7c153e84a71c14c20a9d970a96a141fa71e574e,0xCb9A93e1b15E23146D4D6292c3cBCD37AE52Af0F,0.04953279 ETH,0.00012759
0x085d0d01deb4292832f829dda4e973bfd6c2cea85fcf45b16135e293a4363c69,Transfer,21124918,33 secs ago,0xc6a5c75d1cb4b81c6fa1dcb391143bcbb8610d13,0x787B8840100d9BaAdD7463f4a73b5BA73B00C6cA,0.176482552 ETH,0.00012845
0x58adb829f41c8e565f12f35a556743d58180bf888f1f443d53376e5d8df2721a,Transfer,21124918,33 secs ago,javascript:;,0xdAC17F958D2ee523a2206206994597C13D831ec7,0 ETH,0.00027311
0x3b96e2983032b3f079dcca5d6e0beab2d8587798bec297f0e006cea8555a7db0,Transfer,21124918,33 secs ago,0x3c8363a09ef73267b33c435f6d1a46ed6b70551b,0xD6efEA41d3179203f9aB628D46401046e701C155,1.49987166 ETH,0.00012833
0x836d1bb8a8c80f0ac269046b6ce98e392a282abee4fc7ceb0c50f62ae1ae818f,Transfer,21124918,33 secs ago,0xbd5cdd1ca9ae5f1443aec2642d43a538c32a473f,0xd018e24ce8a2a81b4fD244cD0f011F934f8655b8,0.004 ETH,0.00012885
0x437a617806b115dcb8c5155e4600c8eb94366673afe048b7bfdf6d5cefc5f4ce,Transfer,21124918,33 secs ago,0xe45510b365d9b6e7d343706251aed6cb8afd3e9a,0x7c8E2136B58Ee63D94aaBb29DB7bf96Cc31e456d,0.00001 ETH,0.00012745
0x377f38d1cf0999168da61e803acd052677570daa51d170d7669d832ed6427d65,Transfer,21124918,33 secs ago,0x1c727a55ea3c11b0ab7d3a361fe0f3c47ce6de5d,0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984,0 ETH,0.00024382
0xa4d8dea3d1caaf6c8126cb87794ba85bd78739dd8bcc520205192682c0d6a5ae,Transfer,21124918,33 secs ago,0x316fb96cbe2fb52dbe679d75b928fcfad858241b,0xF8F5f84305c0bFe69EDaD00Fa40Db5a75059d2b1,0.01 ETH,0.0001285
0x81df9d4c526feb42744c7289cc37b3c4ffb50de2bfb43df62269f6dd85078055,Transfer,21124918,33 secs ago,0x206c52b78141498e74ff074301ea90888c40c178,0xdb85f6685950E285b1E611037BEBe5B34e2B7d78,0 ETH,0.00032512
0x8d41db9aa981649f9f5af87d6005ead2825acd67855b2ccb42a699cd177396d9,Transfer,21124918,33 secs ago,javascript:;,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0 ETH,0.00026683
0xd9d32151caa36c8d1203c9d45cc611218bbff18dc479455d012ec48717c64d6d,Transfer,21124918,33 secs ago,0x0c2d990e0a9ad14ba3455388575fb743ff8ecc07,0xaa95f26e30001251fb905d264Aa7b00eE9dF6C18,0 ETH,0.00034896
0x51697987e849e317a94326a75d307cc40cddf0030a889fc1743fd3ef301ee082,Transfer,21124918,33 secs ago,0xc1b08adefb185a24068640346fb7acfe74bdba4c,0x47cb371276DD6B417c360354bf1Bc87f84fD4B6e,0.1 ETH,0.00012836
0x41a72f33f66b8fcc3df33c8155fdcf5a9f07fd700506137e4957c7ae5c922e5b,Transfer,21124918,33 secs ago,0xb2a9fece5ba95ccb5a283a054a9e7017f62fe5eb,0xB0edeDced191E95f50957de1c21ac418F11e09E0,0.003301566 ETH,0.00013125
0x5aae1209b4704082d8d72d98ac8f8a909fe714d541790be460f400c6bdf6b8a8,Transfer,21124918,33 secs ago,0x3ba6ac20622711b84c0cf7e66b0fe04156bcffb7,0xC94eBB328aC25b95DB0E0AA968371885Fa516215,0.519083296 ETH,0.00012845
0xb2ee6eb67676ded41506974ae7a953f8013a6665df593ef36b644daf88e6f429,Bridge,21124918,33 secs ago,0x1881ad6e231a14a8be0f9ae6f9efd8f3cfb09919,0x1929347E025D4F5F8D6B2Bd2261e2f4EfcAcd215,0 ETH,0.00084021
0xdb4d44044fdc62653461e52af06285cfc9f3319388b976a7163deda49da18880,Transfer,21124918,33 secs ago,0xb9bdd2276f93f32fe717b25d45eef9ac7b4a56ea,0xC94eBB328aC25b95DB0E0AA968371885Fa516215,0.158091542 ETH,0.00012845
0x038bf3cecc81b0d0112cb5100471c9e7512b4346d8f34783494ec0aa50895256,Transfer,21124918,33 secs ago,0xff590908993e5ed76e2ec81e20de5cae1376688d,0xd6b9DEb538A98af66E10E5991d3D609d2F56BdF0,0.006141542 ETH,0.00012845
0x79da36d276ab7aef3548892c80d6858ded10c0deb4922ecac78e0ab96e0a9caf,Transfer,21124918,33 secs ago,javascript:;,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0 ETH,0.00026683
0x145fcf0c67b9b1cdf82762f4ce467f5fd8ac70b886df3bdbc35e22f4a3e6f2b5,Transfer,21124918,33 secs ago,0x51092801489a73c8e4a3fee333ee08adc4fc3752,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0 ETH,0.00024688
0xdbf66e38da21cf633cc903c4a13c6cf625583b2e61160272f29a69ae174f51a5,Transfer,21124918,33 secs ago,0xa88bd785f9e75cf7ea9147970f5d644386930f50,0xdAC17F958D2ee523a2206206994597C13D831ec7,0 ETH,0.00032
0xeac238bfebb3452f30e6d258a71fb05dd70c0eeb1637023aa6ee4b83b8cb2ec8,Transfer,21124918,33 secs ago,javascript:;,0xdAC17F958D2ee523a2206206994597C13D831ec7,0 ETH,0.00027311
0x99dcd75dce0360ded042c958f2b80dabf6ddb24d1ce98b0e51940df1416576a5,Commit Blocks,21124918,33 secs ago,0x01c3a1a6890a146ac187a019f9863b3ab2bff91e,0xaBEA9132b05A70803a4E85094fD0e1800777fBEF,0 ETH,0.00066721
0x878de238eaec8a11be77f5b843a3fc9359df80039489a00a20f4e01ae72e81c1,Transfer,21124918,33 secs ago,0x86718c56b1c2108ff53fe87e415535fb32e9b742,0x92164CD938AFF4D97EA2111dc24720Dc77BDf226,0.079006008 ETH,0.00013454
0xfa5422adf1ee07a09b39bcff54098ce81344e1b729d3b73f7ff666f2b4fa0dd9,Transfer,21124918,33 secs ago,0x09f1e8dd87a7fbf720bc85f9589ca01353389619,0x84A965244b03c2Ab452a35ac31AC159F2153978d,0.00085 ETH,0.00013454
0x006eb08b47d182273ad5fff74f042494e82e2219cb5670ce7b48a80445a481f0,Transfer,21124918,33 secs ago,0x943334bc0cf7fe1329600450031816e87d24efae,0x3a09C40f8f7B93c8C7e09A5422e56DFe7c7d2794,0.014285451 ETH,0.00013454
0xf1521c1186fb6d66ce6ac50cca010521467e36139acb124cac593230fd9768c0,Withdraw,21124918,33 secs ago,0x52f948ea88c20bb8ab0b867a029e920046c62734,0xD851954b789732C36bFbBfEF49e0A366fE800cCA,0.001 ETH,0.00049886
0xe1625d52e0e877060b19e15abce8ce6345453c913a90dd602d2b676e465653e6,Transfer,21124918,41 secs ago,0xadcdb030bf855085493dd15ae6bfe3bec0f3864d,0x0a0a0cB885a74Ce902b6B9630412bEC9fDe57920,0.408902163 ETH,0.00013488
0x8b7ec4713f0d95cbf85a9f4968dfe718db689921a1f6ebfefb98094f8b1705ec,Bridge ERC20,21124918,41 secs ago,0xf46b7b71bf024c4a7a102fb570c89b03d3ddec92,0x07042134d4DC295CBF3aB08a4a0eFF847a528171,0 ETH,0.00027065
0x1abc92e74039a1b5b967953e5dcf443454894169f1b303ada0bdee608acb8fb7,Transfer,21124918,41 secs ago,0x9327871afc6580d317b856375ab66db857232d27,0xf3B0073E3a7F747C7A38B36B805247B222C302A3,1.309864886 ETH,0.00013511
0x6336582b68fc846b9a9fc64afe1feeb7e7f3b9d8b7063d7891fe72e87108576f,Transfer,21124918,41 secs ago,0x4f95e43c00a150c7559ad806888c72dd4c268fd7,0xA78681D03eb089E886909246D2859E8A5b5Bea26,1.356048669 ETH,0.00013672
0xd960027ac9ef2b811091f6529311fa8743e175d234191e80cf0c38dd0a2acc65,Transfer,21124918,41 secs ago,0x3f032800a8d6a0b2d91d2cae52ab72b4bdc1d714,0x91c58a356FbEAee8198575925a76B28CE57E2103,0.020609208 ETH,0.00013672
0x49f035e54993a6f7d5f3ffaea142411219694cbcc4f2fdfe26c510709cb8eb6c,Transfer,21124918,41 secs ago,0xe1446b55713d06d242b2347b4ac3e5b436ef1cc6,0xC94eBB328aC25b95DB0E0AA968371885Fa516215,0.00534109 ETH,0.0001369
0xa5afdb34f45c0907faae87888434d94510d8e90ca2e94ebab6b9521c08c542e4,Transfer,21124918,41 secs ago,0xe397df50e1d7362db0a22dcd85c04096aa2aef4c,0xC94eBB328aC25b95DB0E0AA968371885Fa516215,0.01131309 ETH,0.0001369
0x085e621afe9603224b5063dc87ff21c0da361866db4cea69778fc24869e65fe4,Transfer,21124918,41 secs ago,0xd3ee47e48aaed260d6f212c3b7375f5e0feccfe6,0x66D4104f99F6A3df367D9EC702cCDbd3c4C52cd1,0.024619578 ETH,0.0001369
